Fecha;Hora;Temperatura;Humedad (%);Humedad del suelo (%);Porcenaje de agua;Estado bomba
21/8/2022;12:18:32;19.6;76;73.54;49.42;0
21/8/2022;12:18:37;19.6;75.9;73.93;49.43;0
21/8/2022;12:18:42;19.6;75.9;72.36;49.42;0
21/8/2022;12:18:47;19.6;76;72.46;49.45;0
21/8/2022;12:18:52;19.6;75.9;72.66;49.44;0
21/8/2022;12:18:57;19.6;75.9;71.58;49.45;0
21/8/2022;12:19:02;19.6;75.9;71.29;49.44;0
21/8/2022;12:19:07;19.6;75.9;71.58;49.42;0
21/8/2022;12:19:12;19.6;75.9;71.48;49.49;0
21/8/2022;12:19:17;19.6;76;70.9;49.77;0
21/8/2022;12:19:22;19.6;75.9;70.61;49.73;0
21/8/2022;12:19:27;19.6;75.9;70.7;49.55;0
21/8/2022;12:19:32;19.6;75.9;71.09;49.47;0
21/8/2022;12:19:37;19.6;75.7;71;49.42;0
21/8/2022;12:19:42;19.6;75.6;70.9;49.43;0
21/8/2022;12:19:47;19.6;75.4;70.7;49.43;0
21/8/2022;12:19:52;19.6;75.2;70.12;49.55;0
21/8/2022;12:19:57;19.6;74.9;70.61;49.43;0
21/8/2022;12:20:02;19.6;74.8;70.51;49.41;0
21/8/2022;12:20:07;19.6;74.7;69.92;49.41;0
21/8/2022;12:20:12;19.6;74.7;69.82;49.41;0
21/8/2022;12:20:17;19.6;74.9;69.53;49.42;0
21/8/2022;12:20:22;19.6;74.9;70.12;49.43;0
21/8/2022;12:20:27;19.6;74.8;70.31;49.41;0
21/8/2022;12:20:32;19.6;74.9;69.92;49.41;0
21/8/2022;12:20:37;19.6;75;69.34;49.42;0
21/8/2022;12:20:42;19.6;75.1;69.14;49.4;0
21/8/2022;12:20:47;19.6;75.1;69.14;49.42;0
21/8/2022;12:20:52;19.6;75.2;69.04;49.43;0
21/8/2022;12:20:57;19.6;75.2;69.04;49.44;0
21/8/2022;12:21:02;19.5;75.2;68.85;49.42;0
21/8/2022;12:21:08;19.6;75.3;68.65;49.41;0
21/8/2022;12:21:13;19.6;75.3;68.95;49.41;0
21/8/2022;12:21:18;19.6;75.3;68.65;49.41;0
21/8/2022;12:21:23;19.6;75.3;68.65;49.45;0
21/8/2022;12:21:28;19.6;75.6;68.65;49.44;0
21/8/2022;12:21:33;19.6;75.6;68.55;49.42;0
21/8/2022;12:21:38;19.6;75.6;68.95;49.47;0
21/8/2022;12:21:43;19.6;75.6;68.36;49.42;0
21/8/2022;12:21:48;19.6;75.5;68.55;49.47;0
21/8/2022;12:21:53;19.6;75.5;68.26;49.62;0
21/8/2022;12:21:58;19.6;75.5;68.07;49.59;0
21/8/2022;12:22:03;19.6;75.5;68.26;49.41;0
21/8/2022;12:22:08;19.6;75.5;68.85;49.4;0
21/8/2022;12:22:13;19.6;75.4;68.07;49.41;0
21/8/2022;12:22:18;19.6;75.4;68.65;49.41;0
21/8/2022;12:22:23;19.6;75.4;67.97;49.41;0
21/8/2022;12:22:28;19.6;75.3;68.16;49.43;0
21/8/2022;12:22:33;19.6;75.3;68.07;49.6;0
21/8/2022;12:22:38;19.6;75.2;68.36;49.49;0
21/8/2022;12:22:43;19.6;75.2;68.55;49.47;0
21/8/2022;12:22:48;19.6;75.1;67.87;49.61;0
21/8/2022;12:22:53;19.6;75.1;67.87;49.46;0
21/8/2022;12:22:58;19.6;75;68.55;49.4;0
21/8/2022;12:23:03;19.6;75;68.36;49.97;0
21/8/2022;12:23:08;19.6;74.9;68.26;49.41;0
21/8/2022;12:23:13;19.6;74.8;67.77;49.46;0
21/8/2022;12:23:18;19.6;74.7;67.87;49.43;0
21/8/2022;12:23:24;19.5;74.7;67.77;49.41;0
21/8/2022;12:23:28;19.6;74.8;68.26;49.43;0
21/8/2022;12:23:33;19.6;74.9;67.77;49.93;0
21/8/2022;12:23:39;19.5;74.8;67.68;49.4;0
21/8/2022;12:23:43;19.5;74.9;68.26;49.43;0
21/8/2022;12:23:49;19.5;74.9;67.77;49.43;0
21/8/2022;12:23:54;19.5;74.9;67.68;49.42;0
21/8/2022;12:23:58;19.6;75;68.07;49.42;0
21/8/2022;12:24:04;19.5;75;67.68;49.38;0
21/8/2022;12:24:09;19.5;75;67.58;49.43;0
21/8/2022;12:24:14;19.6;75.1;67.68;49.42;0
21/8/2022;12:24:18;19.5;75;67.77;49.44;0
21/8/2022;12:24:24;19.6;75.1;68.16;49.43;0
21/8/2022;12:24:29;19.6;75.1;67.58;49.44;0
21/8/2022;12:24:34;19.5;75.1;67.58;49.42;0
21/8/2022;12:24:39;19.6;75.2;68.07;49.43;0
21/8/2022;12:24:44;19.6;75.2;68.07;49.45;0
21/8/2022;12:24:49;19.6;75.2;67.97;49.42;0
21/8/2022;12:24:54;19.6;75.2;67.97;49.44;0
21/8/2022;12:24:59;19.6;75.2;67.48;49.66;0
21/8/2022;12:25:04;19.6;75.4;67.97;49.63;0
21/8/2022;12:25:09;19.6;75.4;67.87;49.58;0
21/8/2022;12:25:14;19.6;75.4;67.87;49.41;0
21/8/2022;12:25:19;19.6;75.4;67.97;49.38;0
21/8/2022;12:25:24;19.6;75.4;66.89;50.09;0
21/8/2022;12:25:29;19.6;75.3;67.87;49.36;0
21/8/2022;12:25:34;19.6;75.3;67.48;49.4;0
21/8/2022;12:25:39;19.6;75.3;67.48;49.96;0
21/8/2022;12:25:44;19.6;75.2;67.87;49.46;0
21/8/2022;12:25:49;19.6;75.1;67.48;49.38;0
21/8/2022;12:25:54;19.6;75.1;67.97;49.44;0
21/8/2022;12:25:59;19.6;75;67.97;49.49;0
21/8/2022;12:26:04;19.6;75;67.38;49.4;0
21/8/2022;12:26:09;19.6;74.9;67.97;49.41;0
21/8/2022;12:26:14;19.6;74.8;67.38;49.38;0
21/8/2022;12:26:19;19.6;74.8;67.97;49.73;0
21/8/2022;12:26:24;19.5;74.7;67.97;49.35;0
